127.0.0.1, 2012-04-10 15:50:32, GET, /, HTTP/1.1, 303, 0.000879
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/default/index, HTTP/1.1, 200, 0.942895
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000456
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000463
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000366
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.000334
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000344
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000338
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000574
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000419
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000383
127.0.0.1, 2012-04-10 15:50:33, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000473
127.0.0.1, 2012-04-10 15:50:40, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000435
127.0.0.1, 2012-04-10 15:50:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.028309
127.0.0.1, 2012-04-10 15:50:49, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000430
127.0.0.1, 2012-04-10 15:50:49, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000549
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 303, 0.178242
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/default/index, HTTP/1.1, 200, 0.030475
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000343
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000353
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000794
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000437
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.005783
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.007032
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000432
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000386
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000407
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000446
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000445
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000436
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000452
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000388
127.0.0.1, 2012-04-10 15:51:34, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000393
127.0.0.1, 2012-04-10 15:51:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
